customer_id,first_name,last_name,email,phone,loyalty_points,join_date
34,Tallie,Pettis,tpettisx@tripadvisor.com,(178) 3209225,299,2025-06-05
35,Bren,Danihel,bdanihely@eventbrite.com,(751) 2714579,182,2025-09-21
36,Veronike,Hatchette,vhatchettez@alibaba.com,(825) 6421332,544,2024-02-05
37,Francklin,Reynoollds,freynoollds10@nasa.gov,(905) 8284961,59,2023-11-27
38,Ella,Smardon,esmardon11@tmall.com,(445) 3723576,591,2024-04-17
39,Leroi,Shillaker,lshillaker12@yellowpages.com,(134) 8257371,89,2025-04-20
40,Jeri,Pleasaunce,jpleasaunce13@dion.ne.jp,(781) 9807219,331,2022-06-01
41,Sonny,Lartice,slartice14@prnewswire.com,(139) 9414823,266,2024-11-07
42,Nikoletta,Mungham,nmungham15@barnesandnoble.com,(473) 5432188,270,2023-04-05
43,Staci,Ridge,sridge16@dagondesign.com,(607) 7493450,297,2023-07-10
44,Heindrick,Ketts,hketts17@spiegel.de,(295) 7231452,538,2025-09-11
45,Trefor,Clappison,tclappison18@yolasite.com,(173) 9527316,545,2024-09-13
46,Annice,Patillo,apatillo19@ft.com,(716) 2529903,106,2024-03-20
47,Beatriz,Steggals,bsteggals1a@reference.com,(998) 9469621,438,2025-04-17
48,Xylina,Becker,xbecker1b@privacy.gov.au,(101) 2913985,187,2023-06-10
49,Celia,Blackall,cblackall1c@cnet.com,(114) 1479785,425,2024-08-04
50,Liz,Fransewich,lfransewich1d@tuttocitta.it,(598) 6193898,103,2023-11-23
51,Eleonora,Beesley,ebeesley1e@flavors.me,(477) 4918000,595,2025-08-14
52,Torrence,Swansbury,tswansbury1f@dedecms.com,(478) 3849675,156,2025-01-19
53,Pippo,Haskell,phaskell1g@yahoo.co.jp,(975) 2876898,50,2025-08-24
54,Kristen,Krale,kkrale1h@wiley.com,(807) 1172273,152,2023-07-27
55,Aleta,Zapata,azapata1i@cocolog-nifty.com,(201) 8100770,36,2025-05-09
56,Penny,Philimore,pphilimore1j@cdc.gov,(736) 9389453,406,2023-11-24
57,Jaquenetta,Majury,jmajury1k@apache.org,(815) 4465667,394,2023-12-22
58,Alleyn,Rousel,arousel1l@foxnews.com,(593) 9000377,454,2024-10-31
59,Connor,Yegorov,cyegorov1m@icio.us,(982) 9964343,131,2024-04-03
60,Annalee,Henrot,ahenrot1n@usgs.gov,(764) 4763581,301,2022-03-12
61,Heinrik,McEnhill,hmcenhill1o@blog.com,(143) 7179404,498,2023-09-12
62,Konstantine,Wakeham,kwakeham1p@ebay.co.uk,(121) 3110826,233,2025-03-31
63,Wash,Haycock,whaycock1q@tumblr.com,(504) 3606666,45,2022-08-22
64,Rosemary,Lidgate,rlidgate1r@mail.ru,(518) 3201962,122,2024-05-27
65,Myrtie,Shemmans,mshemmans1s@ucla.edu,(137) 9361147,539,2024-08-31
66,Enrique,Antoniak,eantoniak1t@list-manage.com,(567) 1918482,401,2023-03-21
67,Pippa,Wastell,pwastell1u@ucoz.com,(926) 5901166,227,2025-01-11
68,Byrom,Boulds,bboulds1v@fotki.com,(793) 1773006,139,2023-12-28
69,Ken,Caston,kcaston1w@telegraph.co.uk,(557) 1045423,139,2023-09-24
70,Manolo,Gummie,mgummie1x@dedecms.com,(354) 3408706,440,2025-09-23
71,Alard,Drinkhill,adrinkhill1y@europa.eu,(416) 9730471,346,2022-09-08
72,Kiah,Oram,koram1z@feedburner.com,(866) 3521919,88,2024-01-13
73,Hillier,O'Donegan,hodonegan20@indiatimes.com,(504) 1940113,274,2025-09-13
74,Florella,McKague,fmckague21@flickr.com,(901) 4765531,544,2023-02-14
75,Donnie,Karlowicz,dkarlowicz22@moonfruit.com,(222) 7696279,541,2022-03-08
76,Galvan,Yve,gyve23@netscape.com,(776) 5958317,455,2024-09-26
77,Rogerio,Thow,rthow24@addtoany.com,(607) 9470713,225,2023-04-30
78,Wilhelmina,Turpie,wturpie25@mozilla.org,(751) 6067062,331,2023-04-06
79,Alikee,Piquard,apiquard26@newyorker.com,(164) 9952561,240,2024-06-12
80,Nilson,Guise,nguise27@auda.org.au,(966) 6061806,104,2024-04-13
81,Nike,Duthie,nduthie28@studiopress.com,(131) 2926619,162,2025-07-17
82,Meredeth,Mauger,mmauger29@economist.com,(904) 9556164,537,2022-09-11
83,Hettie,Petrussi,hpetrussi2a@google.pl,(489) 8825497,415,2022-10-18
84,Ofilia,Lillicrap,olillicrap2b@behance.net,(787) 8159949,11,2025-09-19
85,Doy,Hoffman,dhoffman2c@weebly.com,(915) 9421929,319,2023-06-30
86,Shelia,Golds,sgolds2d@liveinternet.ru,(137) 4123021,381,2025-08-07
87,Silas,Michelle,smichelle2e@yellowbook.com,(714) 5620074,558,2024-07-04
88,Shepard,Gierhard,sgierhard2f@privacy.gov.au,(654) 8309022,129,2023-10-30
89,Morena,Tuckey,mtuckey2g@cnet.com,(250) 2141976,107,2022-06-15
90,Riordan,Brouncker,rbrouncker2h@weebly.com,(232) 1446642,233,2025-06-09
91,Gaby,Blinde,gblinde2i@zdnet.com,(450) 8729904,309,2023-02-10
92,Noak,Barukh,nbarukh2j@delicious.com,(794) 7668275,375,2022-12-18
93,Jerome,Guillain,jguillain2k@wunderground.com,(723) 8220797,70,2023-03-14
94,Noel,Quodling,nquodling2l@gravatar.com,(863) 5875410,58,2025-08-25
95,Ofilia,Whistlecroft,owhistlecroft2m@lycos.com,(894) 1314154,224,2025-03-07
96,Laverna,Ongin,longin2n@bravesites.com,(271) 8805962,108,2024-03-07
97,Cesare,Casaccio,ccasaccio2o@wikia.com,(300) 2918101,48,2025-09-29
98,Brander,Longforth,blongforth2p@ebay.com,(317) 1199398,495,2025-04-29
99,Gilburt,Craighill,gcraighill2q@fda.gov,(418) 6476099,483,2023-03-14
100,Emanuele,Secombe,esecombe2r@toplist.cz,(538) 6064244,388,2023-05-18
101,Oriana,Stayt,ostayt2s@slashdot.org,(984) 7427719,271,2025-08-16
102,Florrie,Yeatman,fyeatman2t@microsoft.com,(983) 6147813,583,2022-08-21
103,Maryann,Mitford,mmitford2u@japanpost.jp,(707) 1173503,28,2023-05-16
104,Laverne,Priddie,lpriddie2v@xinhuanet.com,(946) 4311185,29,2025-06-17
105,Kathlin,Baythorp,kbaythorp2w@histats.com,(743) 8246062,201,2023-08-21
106,Hannis,Cordet,hcordet2x@multiply.com,(839) 3234803,116,2024-07-04
107,Amitie,McAvinchey,amcavinchey2y@people.com.cn,(349) 5704934,124,2025-09-12
108,Carmella,Hardwidge,chardwidge2z@angelfire.com,(296) 7249144,432,2024-09-27
109,Caron,Mitten,cmitten30@ucla.edu,(152) 3233599,485,2024-03-24
110,Breanne,Dymidowicz,bdymidowicz31@wunderground.com,(155) 9406761,504,2022-06-13
111,Arlinda,Carlisso,acarlisso32@lulu.com,(589) 1256898,380,2023-02-21
112,Ringo,Lopes,rlopes33@netvibes.com,(740) 3877759,295,2024-06-05
113,Mick,Mumby,mmumby34@homestead.com,(182) 1486475,299,2022-06-28
114,Callie,Croson,ccroson35@exblog.jp,(746) 9710944,213,2025-02-22
115,Garrik,Peskett,gpeskett36@multiply.com,(718) 2301617,573,2024-06-02
116,Shermie,Yukhnin,syukhnin37@deliciousdays.com,(221) 9972219,161,2024-09-09
117,Bert,Ivashnyov,bivashnyov38@ft.com,(347) 8261077,175,2022-06-14
118,Giacomo,Darke,gdarke39@amazonaws.com,(155) 3199349,390,2024-02-17
119,Meara,Hebard,mhebard3a@unblog.fr,(210) 6024497,228,2024-08-04
120,Gerry,Bonifazio,gbonifazio3b@mozilla.com,(106) 1932241,362,2024-08-22
121,Lay,Lightewood,llightewood3c@bluehost.com,(138) 8067701,364,2023-04-14
122,Rube,Varsey,rvarsey3d@studiopress.com,(187) 5086632,100,2025-01-23
123,Sybil,Cooch,scooch3e@ox.ac.uk,(462) 4627015,381,2023-07-24
124,Dar,Burgett,dburgett3f@mapquest.com,(109) 1926129,407,2022-05-19
125,Norina,Dahmke,ndahmke3g@wordpress.com,(223) 1527107,412,2025-09-24
126,Collete,McGrayle,cmcgrayle3h@tripod.com,(673) 6774185,480,2022-10-14
127,Christoforo,Bread,cbread3i@si.edu,(708) 7317074,409,2024-02-24
128,Roxanna,Neale,rneale3j@pagesperso-orange.fr,(335) 8602557,555,2024-05-10
129,Merrill,Golds,mgolds3k@xing.com,(919) 1026195,289,2023-02-08
130,Levon,Poat,lpoat3l@hp.com,(631) 7439729,370,2024-10-07
131,Hilton,Bramich,hbramich3m@ning.com,(213) 1221418,458,2022-02-25
132,Ethelin,Lindegard,elindegard3n@washington.edu,(313) 6151759,98,2022-03-27
133,Judie,Dewsbury,jdewsbury3o@bluehost.com,(435) 6914084,382,2023-04-30
134,Vanni,Ragborne,vragborne3p@furl.net,(563) 6510920,44,2023-12-16
135,Shannan,Fellow,sfellow3q@seattletimes.com,(671) 3688105,182,2023-10-31
136,Augusto,Polye,apolye3r@smh.com.au,(813) 7909276,565,2024-02-04
137,Lynn,Tine,ltine3s@adobe.com,(558) 8409601,1,2024-09-30
138,Agosto,Morl,amorl3t@merriam-webster.com,(759) 5245901,326,2024-02-11
139,Jeannine,Gonnelly,jgonnelly3u@berkeley.edu,(927) 9877036,404,2024-01-26
140,Hilliard,Elecum,helecum3v@php.net,(682) 4995351,305,2025-09-25
141,Sapphira,Baumaier,sbaumaier3w@etsy.com,(922) 1202805,314,2024-11-19
142,Alis,Laverock,alaverock3x@so-net.ne.jp,(739) 7906468,13,2024-10-08
143,Calley,Whitefoot,cwhitefoot3y@nhs.uk,(968) 8740997,476,2023-02-10
144,Brandie,Abramovic,babramovic3z@eventbrite.com,(928) 9756013,227,2024-10-03
145,Georgie,Franssen,gfranssen40@google.co.uk,(934) 7024242,161,2024-11-13
146,Bradley,Gronno,bgronno41@sogou.com,(676) 4140847,552,2022-03-26
147,Malinde,Hannond,mhannond42@nydailynews.com,(356) 6060832,565,2022-03-25
148,Rozelle,Espinal,respinal43@github.io,(892) 6564638,580,2025-10-25
149,Nicky,Ervin,nervin44@booking.com,(840) 1082356,344,2025-09-10
150,Cymbre,Baggot,cbaggot45@webmd.com,(789) 7377457,3,2023-04-23
